# Projection from (0, -2, -42) to the plane at z = -10
nv 273
MLC11 0.476022 0.646696
MLC12 0.434472 0.618984
MLC13 0.388631 0.601773
MLC14 0.342077 0.57589
MLC15 0.303252 0.546244
MLC16 0.270767 0.509031
MLC17 0.248178 0.4634
MLC21 0.429488 0.569744
MLC22 0.384576 0.552514
MLC23 0.345097 0.52507
MLC24 0.314908 0.490926
MLC25 0.286626 0.446092
MLC31 0.364485 0.480923
MLC32 0.327659 0.435885
MLC41 0.404771 0.508658
MLC42 0.375703 0.433849
MLC51 0.476734 0.561478
MLC52 0.450687 0.521256
MLC53 0.413653 0.4625
MLC54 0.417603 0.412313
MLC55 0.438804 0.370569
MLC61 0.475906 0.481603
MLC62 0.454567 0.440269
MLC63 0.476646 0.397817
MLF11 0.426136 0.913422
MLF12 0.354496 0.891712
MLF13 0.286581 0.864201
MLF14 0.226882 0.829148
MLF21 0.467627 0.875994
MLF22 0.403661 0.861752
MLF23 0.344588 0.842252
MLF24 0.28555 0.806825
MLF25 0.240811 0.769655
MLF31 0.440243 0.824394
MLF32 0.381882 0.810855
MLF33 0.323691 0.780624
MLF34 0.278309 0.746714
MLF35 0.241797 0.706281
MLF41 0.47285 0.779983
MLF42 0.418436 0.773983
MLF43 0.361544 0.749292
MLF44 0.315649 0.720325
MLF45 0.270384 0.686441
MLF46 0.230694 0.642984
MLF51 0.457889 0.730752
MLF52 0.399774 0.714838
MLF53 0.352796 0.689986
MLF54 0.309675 0.659964
MLF55 0.262077 0.627592
MLF56 0.221611 0.584518
MLF61 0.434383 0.67616
MLF62 0.389199 0.653933
MLF63 0.346219 0.627432
MLF64 0.303818 0.603427
MLF65 0.261059 0.573331
MLF66 0.232082 0.535231
MLF67 0.214072 0.48517
MLO11 0.431706 0.15989
MLO12 0.369659 0.181645
MLO13 0.312506 0.213318
MLO14 0.263836 0.260048
MLO21 0.458176 0.117723
MLO22 0.392583 0.136459
MLO23 0.324806 0.165996
MLO24 0.267473 0.21123
MLO31 0.420622 0.0938945
MLO32 0.344798 0.117231
MLO33 0.276724 0.15875
MLO34 0.219608 0.215133
MLO41 0.45461 0.0488345
MLO42 0.369495 0.0644405
MLO43 0.290039 0.10077
MLO44 0.221195 0.155364
MLO51 0.403025 0.00497136
MLO52 0.308226 0.0343901
MLO53 0.224852 0.0867502
MLP11 0.459766 0.329462
MLP12 0.390886 0.373955
MLP21 0.47517 0.286899
MLP22 0.409542 0.329741
MLP23 0.346052 0.391258
MLP31 0.449844 0.250306
MLP32 0.413695 0.28555
MLP33 0.36461 0.310668
MLP34 0.324906 0.352154
MLP35 0.301759 0.397257
MLP41 0.392288 0.244559
MLP42 0.348413 0.273151
MLP43 0.306062 0.305629
MLP44 0.278719 0.358312
MLP45 0.260758 0.40965
MLP51 0.471838 0.19629
MLP52 0.408861 0.203027
MLP53 0.355346 0.226397
MLP54 0.305671 0.261444
MLP55 0.265532 0.305261
MLP56 0.239225 0.363579
MLP57 0.227331 0.421456
MLT11 0.203954 0.671838
MLT12 0.193732 0.604701
MLT13 0.197037 0.540472
MLT14 0.184707 0.446383
MLT15 0.190003 0.379564
MLT16 0.225499 0.313618
MLT21 0.197502 0.735801
MLT22 0.163313 0.635013
MLT23 0.151902 0.56138
MLT24 0.142948 0.489494
MLT25 0.140033 0.40035
MLT26 0.161472 0.327784
MLT27 0.222415 0.269336
MLT31 0.173617 0.794464
MLT32 0.151473 0.702317
MLT33 0.113728 0.59138
MLT34 0.100126 0.510045
MLT35 0.101194 0.431542
MLT36 0.112289 0.351667
MLT37 0.161382 0.276375
MLT41 0.117873 0.759272
MLT42 0.100861 0.660153
MLT43 0.055148 0.557222
MLT44 0.0559729 0.468515
MLT45 0.061096 0.38028
MLT46 0.0923452 0.291865
MLT47 0.165328 0.224267
MLT51 0.0522152 0.715837
MLT52 0.0137511 0.619975
MLT53 0 0.516459
MLT54 0.00227422 0.414676
MLT55 0.0235719 0.315222
MLT56 0.0883911 0.229514
MLT57 0.156181 0.155914
MRC11 0.525691 0.646397
MRC12 0.566925 0.618742
MRC13 0.612797 0.601536
MRC14 0.659005 0.575354
